,0,1,2,3,4,5
811,137,26,130,22,1,0
812,114,20,111,15,0,0
813,133,26,130,22,0,0
814,121,14,110,13,0,0
815,67,11,63,9,1,0
816,49,8,47,7,0,0
817,74,13,72,10,0,0
818,19,3,16,3,0,0
819,18,4,17,3,0,0
820,57,11,53,7,1,0
821,131,28,128,22,0,0
822,71,12,68,9,0,0
823,68,13,64,11,2,0
824,99,16,90,14,0,0
825,128,23,116,19,0,0
826,137,25,131,19,1,0
827,135,24,132,18,1,0
828,114,24,111,18,1,0
829,60,14,54,13,0,0
830,99,18,91,12,1,0
831,73,17,65,14,1,0
832,135,22,127,20,0,0
833,24,2,18,2,0,1
834,83,13,78,11,0,0
835,121,24,112,20,2,0
836,31,4,29,4,0,0
837,132,24,127,21,2,0
838,53,12,53,7,0,0
839,127,27,114,19,1,0
840,75,14,70,11,0,0
841,49,10,48,6,1,0
842,108,12,97,11,0,0
843,88,17,84,15,1,0
844,45,8,44,6,0,0
845,66,13,64,10,0,0
846,70,11,65,10,0,0
847,17,4,15,4,0,1
848,38,6,33,5,1,0
849,115,22,106,18,0,0
850,132,20,121,19,0,0
851,58,12,57,9,0,0
852,69,15,68,11,0,0
853,72,13,67,10,0,0
854,72,13,68,11,0,0
855,85,16,79,12,1,0
856,100,18,92,14,0,0
857,111,22,107,17,1,0
858,137,19,126,14,0,0
859,29,4,26,4,0,0
860,53,8,49,8,1,0
861,28,3,25,3,0,0
862,110,22,105,17,1,0
863,49,9,45,7,0,0
864,35,7,32,6,0,0
865,74,12,72,12,0,0
866,41,6,40,5,0,0
867,81,12,78,9,1,0
868,25,4,21,4,0,0
869,31,5,29,4,0,0
870,101,19,96,14,0,0
871,56,11,54,10,0,0
872,83,18,80,15,1,0
873,74,16,73,14,1,0
874,120,19,113,13,1,0
875,64,12,62,10,0,0
876,57,9,53,6,0,0
877,73,11,66,10,0,0
878,76,17,74,13,1,0
879,24,5,23,4,0,0
880,27,4,26,4,0,0
881,91,13,84,13,1,0
882,105,19,103,11,0,0
883,91,19,85,16,1,0
884,97,20,87,15,0,0
885,53,9,50,7,0,0
886,115,19,107,16,1,0
887,25,6,21,6,0,0
888,137,27,130,19,3,0
889,54,10,47,10,0,0
890,92,18,85,15,0,0
891,70,10,68,9,1,0
892,136,23,131,19,0,0
893,20,3,19,2,0,0
894,73,11,64,10,0,0
895,101,18,93,11,0,0
896,131,21,126,18,0,0
897,131,23,128,16,1,0
898,96,18,92,15,2,0
899,134,23,129,18,0,0
900,17,2,16,2,0,0
901,30,6,29,6,0,0
902,100,13,94,11,0,0
903,136,22,127,21,0,0
904,24,3,23,3,0,0
905,136,24,130,22,0,0
906,29,4,27,4,0,1
907,97,16,95,12,0,0
908,31,5,28,5,1,0
909,43,8,37,6,0,0
910,117,21,114,17,0,0
911,136,27,130,25,1,0
912,111,18,101,16,0,0
913,137,27,133,21,0,0
914,62,14,61,9,0,0
915,118,19,109,12,1,0
916,101,18,100,14,2,0
917,123,19,115,15,1,0
918,82,16,81,10,1,0
919,50,9,47,9,1,0
920,50,9,47,8,1,0
921,70,11,65,10,0,0
922,56,9,54,8,0,0
923,95,17,91,14,0,0
924,113,14,107,8,0,0
925,75,18,72,16,0,0
926,108,18,99,16,1,0
927,50,11,49,9,1,0
928,126,24,120,19,0,0
929,40,6,36,6,0,0
930,37,7,32,5,0,0
931,134,27,129,16,0,0
932,105,22,102,17,0,0
933,29,5,27,5,0,0
934,63,10,60,9,0,0
935,54,9,49,8,0,1
936,46,8,42,8,1,0
937,135,21,127,16,0,0
938,28,4,25,4,0,0
939,73,15,67,14,0,0
940,44,10,40,9,0,0
941,116,21,111,17,0,0
942,54,10,51,7,0,0
943,50,8,46,7,0,0
944,63,9,57,8,0,0
945,62,11,59,10,0,0
946,67,11,63,11,0,0
947,40,5,38,5,0,0
948,42,7,40,4,0,0
949,115,22,110,19,0,0
950,61,10,58,8,0,0
951,33,6,30,6,1,1
952,69,11,66,6,0,0
953,101,18,99,14,0,0
954,47,8,45,8,0,0
955,56,9,53,6,1,0
956,67,12,65,10,1,0
957,20,3,19,3,0,0
958,137,30,127,28,0,0
959,61,11,56,9,0,0
960,122,20,112,20,0,0
961,54,8,51,8,0,0
962,18,2,17,2,0,0
963,96,17,90,14,0,0
964,30,6,28,6,2,0
965,51,8,50,6,0,0
966,82,14,74,14,0,0
